time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1722349560.9907825,2600.000,2600.000,2599.993,2601.007,2600.000,800.000,2600.006,800.000,2600.000,2600.000,2599.993,800.000,2599.993,800.000,2599.993,800.000,2226.409,2226.532,2226.378,2226.412,2226.821,2226.752,2226.850,2226.830
1722349562.0074158,2600.006,2599.975,2600.000,2599.529,2600.006,800.000,2599.993,800.000,2599.993,2600.000,2600.000,800.000,2600.000,800.000,2599.993,800.000,2226.770,2226.736,2226.742,2226.734,2225.367,2225.376,2225.366,2225.366
1722349563.024138,2600.000,2600.000,2600.000,2600.238,2599.993,800.000,2600.006,800.000,2600.006,2599.979,2600.006,800.000,2600.000,800.000,2600.006,800.000,2322.528,2322.603,2322.666,2322.601,2322.081,2322.084,2322.338,2322.093
1722349564.0406175,2600.000,2600.000,2599.993,800.000,2600.006,800.000,2599.993,800.000,2600.000,2600.000,2599.993,800.000,2599.993,800.000,2600.000,800.000,2322.086,2322.043,2322.092,2322.123,2321.700,2321.723,2321.853,2321.846
1722349565.0575447,2532.802,2600.013,2532.824,800.000,2532.793,800.000,2532.803,800.000,2532.818,2553.529,2532.800,800.000,2532.799,800.000,2532.812,800.000,2226.063,2226.246,2226.067,2226.053,2225.504,2225.475,2225.458,2225.499
1722349566.074147,2599.993,2599.986,2600.006,800.000,2600.000,800.000,2600.000,800.000,2600.000,2599.979,2600.000,800.000,2599.993,800.000,2600.000,800.000,2322.267,2322.136,2322.271,2322.382,2321.717,2321.814,2321.637,2321.703
1722349567.0910563,2600.006,2599.982,2600.006,800.000,2599.993,800.000,2600.006,800.000,2600.000,2600.000,2599.993,800.000,2600.000,800.000,2600.000,800.000,2226.217,2226.229,2225.513,2225.459,2228.706,2228.697,2229.122,2228.902
1722349568.1078405,2600.000,2600.022,2600.000,800.000,2600.006,800.000,2600.006,800.000,2600.006,2600.020,2600.000,800.000,2600.006,800.000,2600.000,800.000,2321.719,2321.689,2321.488,2321.696,2321.631,2321.641,2321.916,2321.665
1722349569.1244934,2524.288,2600.000,2524.290,800.000,2524.279,800.000,2524.279,800.000,2524.288,2569.453,2524.291,800.000,2524.307,800.000,2524.293,800.000,2245.310,2245.318,2245.383,2245.441,2243.296,2243.241,2243.316,2243.307
1722349570.1411881,2600.000,2599.878,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,2600.018,2600.000,800.000,2600.000,800.000,2600.000,800.000,2322.614,2322.464,2322.474,2322.447,2321.662,2321.678,2321.683,2321.867
1722349571.1580536,2600.000,2600.000,2599.993,800.000,2599.993,800.000,2600.006,800.000,2600.006,2599.977,2600.000,800.000,2600.000,800.000,2600.006,800.000,2226.290,2226.164,2226.162,2226.154,2226.793,2226.795,2226.707,2226.817
1722349572.1748652,2600.000,2599.984,2600.000,800.000,2600.000,800.000,2599.993,800.000,2600.006,2600.026,2600.006,800.000,2600.000,800.000,2599.993,800.000,2326.591,2326.610,2326.586,2326.567,2322.002,2321.982,2322.093,2321.940
1722349573.1919208,2600.006,2634.725,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.000,2600.058,2600.000,800.000,2600.000,800.000,2600.000,800.000,2321.462,2321.615,2321.522,2321.497,2321.624,2321.623,2321.661,2321.616
1722349574.208545,2599.993,2600.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2599.993,2600.000,2600.000,800.000,2599.993,800.000,2600.006,800.000,2322.490,2322.487,2322.488,2322.508,2321.835,2321.855,2321.859,2321.837
1722349575.2251806,2600.000,2599.959,2600.006,800.000,2600.006,800.000,2600.000,800.000,2600.000,2600.000,2600.000,800.000,2600.000,800.000,2600.000,800.000,2226.257,2226.252,2226.175,2226.242,2225.707,2225.647,2225.725,2225.686
1722349576.243108,2699.993,2700.016,2699.993,800.000,2699.993,800.000,2700.000,800.000,2700.000,2699.974,2700.000,800.000,2700.000,800.000,2699.993,800.000,2323.951,2323.939,2323.973,2323.950,2323.251,2323.168,2323.153,2322.920
1722349577.2605133,2600.000,2600.000,2600.000,800.000,2599.993,800.000,2600.000,800.000,2599.993,2600.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2322.000,2322.000,2321.897,2322.005,2321.958,2321.984,2321.943,2321.953
1722349578.2767606,2700.000,2699.989,2700.000,800.000,2700.000,800.000,2700.000,800.000,2700.000,2699.976,2700.000,800.000,2700.000,800.000,2700.000,800.000,2322.541,2322.635,2322.649,2322.686,2321.817,2321.816,2321.609,2321.824
1722349579.2935188,2599.993,2599.940,2600.006,800.000,2599.993,800.000,2600.000,800.000,2600.000,2600.000,2600.000,800.000,2600.006,800.000,2599.993,800.000,2322.360,2322.357,2322.316,2322.349,2321.729,2321.718,2321.793,2321.698
1722349580.3101244,2600.006,2600.000,2599.993,800.000,2600.000,800.000,2599.993,800.000,2600.000,2600.000,2600.006,800.000,2600.000,800.000,2600.000,800.000,2322.334,2322.284,2322.314,2322.328,2321.525,2321.471,2321.465,2321.490
1722349581.3273861,2600.000,2599.957,2599.993,800.000,2600.000,800.000,2599.993,800.000,2600.000,2600.000,2599.993,800.000,2600.000,800.000,2599.993,800.000,2321.654,2321.640,2321.686,2321.668,2321.657,2321.631,2321.658,2321.663
1722349582.3444324,2600.006,2600.000,2600.006,800.000,2599.993,2616.327,2600.000,800.000,2600.000,800.000,2600.000,800.000,2600.006,800.000,2600.000,800.000,2322.399,2322.430,2322.444,2322.437,2322.986,2322.805,2322.969,2322.944
1722349583.3615577,2600.000,2600.021,2600.000,800.000,2600.000,800.000,2599.993,2600.106,2600.006,800.000,2599.993,800.000,2599.993,800.000,2600.000,800.000,2323.800,2323.621,2323.654,2323.676,2323.079,2323.042,2323.090,2323.057
